Word,CEFR,Receptive_freq
abrupt,B2,1
absolut,B2,4
absurd,B2,2
absurd,C1,2
acceptabel,B1,1
acceptabel,C1,5
äcklig,A1,1
äcklig,A2,3
äcklig,B1,5
äcklig,B2,1
äcklig,C1,1
adekvat,C1,3
ädel,B2,1
ädel,C1,1
administrativ,B1,1
administrativ,C1,1
afrikansk,A2,1
afrikansk,B1,1
afrikansk,C1,1
aggressiv,B1,2
aggressiv,B2,3
aggressiv,C1,1
akademisk,C1,1
äkta,A2,3
äkta,B1,7
äkta,B2,2
äkta,C1,13
äktenskaplig,B2,1
aktiv,A1,2
aktiv,B1,19
aktiv,B2,10
aktiv,C1,5
aktuell,A2,2
aktuell,B1,5
aktuell,B2,3
aktuell,C1,5
ålderdomlig,B2,1
ålderdomlig,C1,1
alfabetisk,B2,2
alkoholfri,A2,1
all,B2,2
all,C1,3
allen,A2,1
allena,C1,1
allergisk,B1,2
allmän,A1,1
allmän,A2,2
allmän,B1,14
allmän,B2,7
allmän,C1,16
allmänmänsklig,C1,2
allomfattande,C1,2
allsköns,B2,1
allsköns,C1,5
allvarlig,A2,1
allvarlig,B1,6
allvarlig,B2,3
allvarlig,C1,6
allvarsam,B2,2
alpin,B1,1
altaisk,B2,1
alternativ,C1,2
ambitiös,C1,4
amerikansk,A1,4
amerikansk,A2,4
amerikansk,B1,9
amerikansk,B2,13
amerikansk,C1,18
anabol,B1,1
analytisk,B2,1
analytisk,C1,3
ändamålsenlig,C1,1
andfådd,B1,1
andlig,C1,4
ändlös,C1,1
andra,A1,15
andra,A2,51
andra,B1,141
andra,B2,227
andra,C1,256
angelägen,B2,1
angelägen,C1,3
anglosachsisk,B2,1
anglosaxisk,C1,1
ängslig,B2,5
ängslig,C1,1
anhörig,B2,1
anhörig,C1,1
anmärkningsvärd,C1,1
annan,A1,5
annan,A2,20
annan,B1,98
annan,B2,104
annan,C1,146
annorlunda,A2,1
annorlunda,B1,9
annorlunda,B2,8
annorlunda,C1,11
anonym,A2,1
anonym,B1,2
anonym,B2,1
anonym,C1,8
ansenlig,C1,3
anspråkslös,C1,5
ansvarig,C1,1
antikvarisk,B2,1
användbar,B1,3
användbar,C1,5
arabisk,A1,1
arabisk,A2,1
arabisk,B1,4
arabisk,B2,3
arabisk,C1,26
arbetsam,A2,1
arbetsam,B2,3
arbetsam,C1,2
arbetslös,A1,2
arbetslös,A2,7
arbetslös,B1,3
arbetslös,B2,3
arbetslös,C1,3
arg,A1,4
arg,A2,22
arg,B1,39
arg,B2,30
arg,C1,15
argentinsk,B1,2
argentinsk,B2,1
arkaisk,C1,4
arkeologisk,B1,1
årlig,B1,3
årlig,B2,2
årlig,C1,1
ärlig,B1,6
ärlig,B2,4
ärlig,C1,6
arm,B2,1
arm,C1,1
arrogant,B2,1
artig,B1,1
artig,B2,3
artig,C1,6
asiatisk,B2,1
asiatisk,C1,3
assyrisk,B2,1
assyrisk,C1,4
ätbar,B1,1
ätbar,B2,2
återhållsam,C1,3
återvinningsbar,B1,1
åtsittande,B1,1
åtskild,C1,2
åtskillig,C1,3
attraktiv,A2,1
attraktiv,B1,2
attraktiv,C1,1
auktoritär,B2,1
australisk,C1,4
autentisk,B1,1
autentisk,C1,5
automatisk,C1,1
avancerad,C1,2
äventyrlig,B1,1
äventyrlig,B2,1
äventyrlig,C1,2
avgiftsfri,A2,1
avgiftsfri,B1,1
avhängig,C1,2
avlägsen,B1,3
avlägsen,B2,1
avlägsen,C1,12
avlång,A2,2
avlång,B2,1
avlång,C1,3
avsiktlig,C1,5
avskyvärd,B2,1
avskyvärd,C1,1
avundsjuk,B1,2
avundsjuk,C1,2
aztekisk,B2,1
bakre,A1,1
bakre,A2,1
bakre,B2,3
bakre,C1,2
baltisk,A2,1
baltisk,B2,3
banal,B2,1
banal,C1,2
bar,A1,1
bar,A2,1
bar,B1,2
bar,C1,9
bärbar,B1,3
barbarisk,B1,1
barnlös,B1,1
barnlös,C1,3
barnslig,A2,3
barnslig,B1,4
barnslig,B2,4
